# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
gai mu lu 	該目錄	c=5 d=4.99859e-017 t=57682
gai nian 	概念	c=2 d=1.9802 t=41862
gai shan 	改善	c=1 d=3.16465e-024 t=57682
gai wan 	改完	c=1 d=3.55506e-069 t=57682
gai wei 	改爲	c=7 d=1.49346e-020 t=57682
gai xia 	改下	c=12 d=0.0404408 t=57682
gai yi xia 	改一下	c=15 d=0.00263203 t=57682
gai yong 	改用	c=7 d=4.05057e-006 t=57682
gai zao 	改造	c=5 d=0.000290183 t=57682
gai zen me ban 	該怎麼辦	c=1 d=3.37431e-014 t=57682
gai zhu 	蓋住	c=1 d=1 t=55167
gai zong 	改總	c=1 d=1 t=56050
gan 	幹	c=2 d=5.07912e-031 t=57682
gan 	感	c=0 d=2.97266e-024 t=57682
gan 	敢	c=1 d=5.26345e-068 t=57682
gan 	甘	c=10 d=7.77143e-026 t=57682
gan 	趕	c=4 d=8.74757e-015 t=57682
gan bu shang 	趕不上	c=2 d=1.99501 t=52806
gan chu lai 	趕出來	c=1 d=1 t=43774
gan cui 	乾脆	c=2 d=7.04785e-032 t=57682
gan dao 	感到	c=1 d=3.84133e-039 t=57682
gan diao 	幹掉	c=10 d=3.97275e-006 t=57682
gan duo 	甘多	c=1 d=1.78775e-070 t=57682
gan huo 	幹活	c=1 d=1.02776e-028 t=57682
gan jin 	趕緊	c=2 d=1.43802e-009 t=57682
gan jing 	乾淨	c=1 d=1 t=55085
gan jue 	感覺	c=66 d=0.0314558 t=57682
gan jue dao 	感覺到	c=1 d=3.08221e-037 t=57682
gan ma 	幹嘛	c=5 d=3.36334e-005 t=57682
gan rao 	干擾	c=2 d=1.98511 t=50054
gan sha 	幹啥	c=1 d=1 t=54572
gan shang 	趕上	c=1 d=1 t=44132
gan shen me 	幹什麼	c=2 d=6.22077e-034 t=57682
gan xie 	感謝	c=14 d=0.00128116 t=57682
gan yan zheng 	乾眼症	c=2 d=1.96561 t=40897
gan yu 	干預	c=1 d=1 t=56905
gang 	剛	c=13 d=0.03439 t=57682
gang cai 	剛纔	c=25 d=1.47805 t=57682
gang chi wan fan 	剛吃完飯	c=1 d=5.55366e-023 t=57682
gang chu sheng 	剛出生	c=1 d=3.7645e-066 t=57682
gang gang 	剛剛	c=9 d=0.0149257 t=57682
gang jiao 	剛交	c=1 d=7.80127e-021 t=57682
gang kai hui 	剛開會	c=1 d=2.60044e-008 t=57682
gang kai wan 	剛開完	c=1 d=1 t=50790
gang xie 	剛寫	c=1 d=5.24735e-032 t=57682
gao 	搞	c=22 d=0.242926 t=57682
gao 	稿	c=1 d=4.64829e-047 t=57682
gao 	高	c=7 d=3.95293e-023 t=57682
gao ban ben 	高版本	c=2 d=3.43465e-046 t=57682
gao cuo 	搞錯	c=1 d=3.26648e-073 t=57682
gao dao 	搞到	c=2 d=7.81975e-065 t=57682
gao dei 	搞得	c=1 d=2.75113e-053 t=57682
gao dian 	搞掂	c=3 d=2.61028e-023 t=57682
gao ding 	搞定	c=1 d=4.91963e-038 t=57682
gao du 	高度	c=2 d=2.26374e-075 t=57682
gao duan 	高端	c=3 d=1.39357e-022 t=57682
gao feng 	高峯	c=1 d=7.6398e-069 t=57682
gao gua 	搞掛	c=1 d=1 t=53379
gao hao 	搞好	c=2 d=4.11272e-048 t=57682
gao ji 	高級	c=2 d=2.30592e-035 t=57682
gao ji hei 	高級黑	c=1 d=2.57711e-049 t=57682
gao jing 	告警	c=7 d=0.227357 t=57682
gao liang 	高亮	c=1 d=1 t=56371
gao shi 	告示	c=1 d=1.24303e-030 t=57682
gao su 	告訴	c=10 d=4.2874e-008 t=57682
gao su wo 	告訴我	c=1 d=8.51364e-049 t=57682
gao wan 	搞完	c=2 d=2.60797e-042 t=57682
gao xiao lv 	高效率	c=2 d=1 t=43618
gao xie 	高些	c=2 d=9.76639e-017 t=57682
gao ya xian 	高壓線	c=2 d=2.49415e-017 t=57682
gao yi 	高一	c=0 d=1.95006e-064 t=57682
gao yi ge 	搞一個	c=4 d=1.21172e-024 t=57682
gao yi xia 	高一下	c=1 d=1 t=51164
gao yi xie 	高一些	c=1 d=1.95984e-063 t=57682
gao zhi 	告知	c=2 d=2.58243e-030 t=57682
gao zuo 	搞左	c=1 d=1.43866e-073 t=57682
ge 	個	c=131 d=2.78415 t=57682
ge 	各	c=7 d=3.02859e-007 t=57682
ge 	哥	c=64 d=9.10139e-006 t=57682
ge 	歌	c=17 d=2.18786e-005 t=57682
ge 	隔	c=1 d=2.45226e-053 t=57682
ge bi 	隔壁	c=2 d=1 t=50246
ge bi zu 	個鼻祖	c=1 d=1 t=50245
ge bie 	個別	c=0 d=0.1 t=55840
ge bie lei 	個別類	c=1 d=1 t=55841
ge chi 	各吃	c=1 d=1 t=35819
ge ci 	歌詞	c=68 d=0.00416933 t=57682
ge ci ben 	歌詞本	c=1 d=2.94399e-056 t=57682
ge ci hai bao 	歌詞海報	c=2 d=2.70657e-008 t=57682
ge ci qu 	歌詞去	c=1 d=1 t=39732
ge ci ye 	歌詞也	c=1 d=3.00653e-068 t=57682
ge dan 	各彈	c=1 d=1.46373e-041 t=57682
ge dan 	歌單	c=29 d=0.00734067 t=57682
ge dan ye mian 	歌單頁面	c=1 d=2.81445e-056 t=57682
ge ge 	個個	c=1 d=1 t=45881
ge ge 	各個	c=5 d=0.000369043 t=57682
ge ge 	哥哥	c=1 d=1.17631e-028 t=57682
ge gei ni xing neng 	哥給你性能	c=1 d=1.36738e-034 t=57682
ge jian cha 	個檢查	c=1 d=8.1968e-044 t=57682
ge ming 	歌名	c=1 d=3.17716e-041 t=57682
ge ming 	革命	c=1 d=3.16132e-041 t=57682
ge ni 	格尼	c=1 d=1.11507e-046 t=57682
ge qu 	各取	c=4 d=5.23542e-018 t=57682
ge qu 	歌曲	c=284 d=0.136718 t=57682
ge qun 	個羣	c=2 d=1 t=47077
ge ren 	個人	c=10 d=0.00015075 t=57682
ge rou 	割肉	c=1 d=1.25677e-071 t=57682
ge shi 	格式	c=110 d=0.00178683 t=57682
ge shi ge yang 	各式各樣	c=1 d=2.1957e-047 t=57682
ge shi hua 	格式化	c=3 d=3.50176e-009 t=57682
ge shi qu 	各市區	c=0 d=9.98373e-071 t=57682
ge shou 	歌手	c=23 d=0.00172937 t=57682
ge shou ming 	歌手名	c=1 d=5.92563e-021 t=57682
ge shou ye 	歌手頁	c=1 d=6.30384e-043 t=57682
ge shu 	個數	c=1 d=1.28307e-050 t=57682
ge ti 	個體	c=0 d=2.12646e-024 t=57682
ge ti fen xi 	個體分析	c=1 d=2.13712e-023 t=57682
ge wei 	各位	c=4 d=5.02088e-013 t=57682
ge xing 	個性	c=2 d=8.15576e-042 t=57682
ge xing hua 	個性化	c=5 d=1.47618e-023 t=57682
ge xu qiu 	個需求	c=1 d=1 t=38104
ge yue 	個月	c=1 d=1.21375e-073 t=57682
ge zhi 	擱置	c=1 d=1 t=36288
ge zhong 	各種	c=18 d=2.97234e-005 t=57682
ge zhong tu 	各種圖	c=1 d=4.79001e-018 t=57682
ge zi 	個字	c=3 d=3.27058e-029 t=57682
ge zi 	各自	c=1 d=7.18877e-059 t=57682
gei 	給	c=77 d=0.00667115 t=57682
gei bao 	給包	c=2 d=2.24592e-019 t=57682
gei bie ren neng 	給別人能	c=1 d=2.3509e-027 t=57682
gei bu dao 	給不到	c=1 d=5.27797e-071 t=57682
gei da 	給大	c=1 d=1 t=44694
gei dao 	給到	c=18 d=5.27921e-015 t=57682
gei de 	給的	c=7 d=1.31153e-014 t=57682
gei dei 	給得	c=1 d=1 t=40758
gei dian 	給點	c=3 d=2.11427e-012 t=57682
gei ge 	給個	c=15 d=1.00711e-005 t=57682
gei guo 	給過	c=1 d=3.40395e-058 t=57682
gei le 	給了	c=3 d=6.31606e-007 t=57682
gei li 	給力	c=4 d=2.55511e-007 t=57682
gei mei zi 	給妹子	c=1 d=1 t=39417
gei ni 	給你	c=41 d=0.710326 t=57682
gei ni men 	給你們	c=5 d=1.45648e-012 t=57682
gei nin 	給您	c=17 d=0.0184658 t=57682
gei ren 	給人	c=1 d=1.29064e-031 t=57682
gei ri bao 	給日報	c=1 d=1 t=50088
gei shu ju 	給數據	c=1 d=1.65237e-026 t=57682
gei ta 	給他	c=4 d=9.06224e-019 t=57682
gei ta 	給她	c=1 d=1 t=41985
gei wei 	給爲	c=1 d=1 t=43490
gei wo 	給我	c=21 d=9.65953e-005 t=57682
gei wo men 	給我們	c=5 d=0.000176889 t=57682
gei xi 	給系	c=2 d=2.30277e-010 t=57682
gei xia 	給下	c=12 d=0.000437252 t=57682
gei yi xia 	給一下	c=2 d=1.03337 t=55479
gen 	根	c=2 d=6.06511e-030 t=57682
gen 	跟	c=15 d=5.72352e-005 t=57682
gen ben 	根本	c=4 d=3.49391e-012 t=57682
gen bu shang 	跟不上	c=1 d=7.88773e-033 t=57682
gen dan 	跟單	c=1 d=0.00162866 t=57682
gen ji 	根基	c=1 d=9.23244e-032 t=57682
gen jin 	跟進	c=49 d=0.606629 t=57682
gen ju 	根據	c=21 d=0.103312 t=57682
gen le 	跟了	c=1 d=0.276651 t=57682
gen mu lu 	根目錄	c=2 d=0.000401622 t=57682
gen ni 	跟你	c=1 d=5.99659e-014 t=57682
gen ta 	跟他	c=1 d=1 t=55707
gen ta men 	跟他們	c=1 d=1 t=44896
gen wo 	跟我	c=1 d=0.00591656 t=57682
gen wo shuo 	跟我說	c=0 d=3.59959e-040 t=57682
gen xin 	跟新	c=2 d=0.000911882 t=57682
gen yin 	跟因	c=1 d=1.15998e-040 t=57682
gen zong 	跟蹤	c=1 d=1.27164e-033 t=57682
geng 	更	c=9 d=7.41323e-010 t=57682
geng da 	更大	c=1 d=8.79235e-075 t=57682
geng duo 	更多	c=4 d=4.99329e-007 t=57682
geng fang bian 	更方便	c=1 d=1 t=57661
geng gai 	更改	c=3 d=1.28158e-007 t=57682
geng gao 	更高	c=1 d=1 t=46860
geng gui yi 	更詭異	c=1 d=1.36385e-033 t=57682
geng hao 	更好	c=1 d=6.87874e-011 t=57682
geng huan 	更換	c=8 d=1.43724e-032 t=57682
geng jia 	更加	c=5 d=0.923116 t=57682
geng jin 	更近	c=1 d=0.0880368 t=57682
geng kuai 	更快	c=2 d=0.0982736 t=57682
geng ming 	更名	c=1 d=3.99797e-068 t=57682
geng neng 	更能	c=1 d=1 t=46872
geng qian 	更籤	c=1 d=1 t=47752
geng shen 	更深	c=1 d=9.78136e-035 t=57682
geng xiao 	更小	c=1 d=1.86425e-063 t=57682
geng xin 	更新	c=83 d=0.401694 t=57682
geng zao 	更早	c=3 d=1 t=55282
geng zhi guan 	更直觀	c=1 d=1 t=53939
gong 	供	c=4 d=1.11955e-009 t=57682
gong ban 	公版	c=1 d=1.74372e-012 t=57682
gong ban 	公辦	c=1 d=2.02103e-013 t=57682
gong ce 	公測	c=1 d=0.822835 t=57682
gong cheng 	工程	c=3 d=1.78094e-048 t=57682
gong cheng shi 	工程師	c=4 d=2.31748e-035 t=57682
gong cun 	共存	c=2 d=1.32628 t=41428
gong e gen shi 	共軛根式	c=1 d=2.24425e-069 t=57682
gong fang 	功放	c=1 d=1.25484e-053 t=57682
gong fu 	功夫	c=0 d=0.1 t=42458
gong gong 	公共	c=1 d=3.9047e-055 t=57682
gong ji jin 	公積金	c=9 d=5.63376e-015 t=57682
gong ju 	工具	c=35 d=0.926171 t=57682
gong ju ku 	工具庫	c=1 d=1 t=47126
gong ju lei 	工具類	c=1 d=3.90736e-063 t=57682
gong lv 	功率	c=0 d=8.87524e-010 t=57682
gong neng 	功能	c=34 d=0.198891 t=57682
gong si 	公司	c=19 d=2.91654 t=57682
gong tong 	共同	c=1 d=1 t=57568
gong xi 	恭喜	c=2 d=2.57457e-008 t=57682
gong xiang 	共享	c=2 d=6.94551e-007 t=57682
gong xin bu 	工信部	c=4 d=4.39893e-016 t=57682
gong yuan 	公園	c=2 d=1.75957 t=35073
gong zhong 	公衆	c=2 d=0.101524 t=45780
gong zhong hao 	公衆號	c=2 d=1.90484 t=45801
gong zi 	工資	c=2 d=1.00239e-029 t=57682
gong zi gao 	工資高	c=1 d=1.00741e-028 t=57682
gong zong 	工總	c=1 d=1 t=44290
gong zuo 	工作	c=12 d=0.000757869 t=57682
gong zuo jing yan 	工作經驗	c=1 d=2.09259e-040 t=57682
gong zuo liang 	工作量	c=40 d=1.1281e-006 t=57682
gong zuo ri 	工作日	c=1 d=5.96122e-062 t=57682
gou 	夠	c=10 d=0.000385878 t=57682
gou 	狗	c=1 d=2.0483e-053 t=57682
gou bu gou 	夠不夠	c=1 d=2.71247e-063 t=57682
gou gou 	狗狗	c=0 d=4.24966e-052 t=57682
gou gou tong guo 	狗狗通過	c=1 d=4.27096e-051 t=57682
gou jian 	構建	c=54 d=0.0782523 t=57682
gou jian hao 	構建號	c=1 d=1.20338e-031 t=57682
gou jian mei you 	構建沒有	c=1 d=1 t=56180
gou jian pin lv 	構建頻率	c=1 d=1.23364e-029 t=57682
gou ma 	詬罵	c=1 d=2.04197e-046 t=57682
gou si 	構思	c=1 d=1 t=35605
gou tong 	溝通	c=28 d=0.818845 t=57682
gou tong guo 	夠通過	c=1 d=2.67909e-035 t=57682
gou yong 	夠用	c=2 d=3.0178e-023 t=57682
gou zao 	構造	c=9 d=7.28699e-012 t=57682
gu 	估	c=1 d=1 t=39838
gu 	股	c=0 d=0.1 t=39836
gu ding 	固定	c=9 d=1.74029e-014 t=57682
gu ge 	估個	c=1 d=1.2413e-043 t=57682
gu ge 	谷歌	c=2 d=1.70206e-014 t=57682
gu ji 	估計	c=30 d=0.0181334 t=57682
gu lao 	古老	c=0 d=0.1 t=52054
gu lv 	顧慮	c=2 d=1.05872 t=50084
gu shi 	故事	c=2 d=6.62394e-012 t=57682
gu suan 	估算	c=1 d=5.34226e-037 t=57682
gu yi 	故意	c=1 d=1.23104e-063 t=57682
gu yi xia 	股一下	c=1 d=1 t=39837
gua 	掛	c=4 d=0.0502874 t=57682
gua de 	掛的	c=1 d=1.16437e-055 t=57682
gua le 	掛了	c=3 d=1.17194e-032 t=57682
gua zhe 	掛着	c=1 d=7.0697e-039 t=57682
guai wo 	怪我	c=1 d=0.1 t=47195
guai wo ha 	怪我哈	c=1 d=1 t=47196
guai yi 	怪異	c=1 d=1 t=56655
guan 	管	c=1 d=2.07755e-014 t=57682
guan 	關	c=4 d=3.91227e-019 t=57682
guan 	館	c=9 d=0.013233 t=57682
guan bi 	關閉	c=9 d=4.2345e-009 t=57682
guan bu liao 	管不了	c=1 d=1 t=36564
guan bu liao 	關不了	c=1 d=1.6107e-049 t=57682
guan cha 	觀察	c=3 d=2.04447e-031 t=57682
guan dao 	管道	c=2 d=3.36445e-009 t=57682
guan deng 	關燈	c=1 d=5.82215e-049 t=57682
guan fang 	官方	c=2 d=3.87415e-055 t=57682
guan fang wen dang 	官方文檔	c=1 d=3.60449e-055 t=57682
guan ji 	關機	c=0 d=6.23793e-038 t=57682
guan jia 	管家	c=2 d=2.80479e-046 t=57682
guan jian 	關鍵	c=14 d=0.786628 t=57682
guan jian dian 	關鍵點	c=1 d=1.34076e-038 t=57682
guan jian han shu 	關鍵函數	c=1 d=1 t=36272
guan jian shi 	關鍵是	c=1 d=7.17167e-031 t=57682
guan jian zi 	關鍵字	c=6 d=1.46315e-030 t=57682
guan le 	慣了	c=2 d=3.0126e-023 t=57682
guan li 	管理	c=33 d=0.000391706 t=57682
guan li qi 	管理器	c=1 d=3.46492e-061 t=57682
guan lian 	關聯	c=4 d=0.564507 t=57682
guan mo 	觀摩	c=1 d=5.57467e-038 t=57682
guan wang 	官網	c=1 d=2.77019e-046 t=57682
guan xi 	關係	c=8 d=0.0714433 t=57682
guan xin 	關心	c=1 d=0.1 t=52262
guan xin wo 	關心我	c=1 d=1 t=52263
guan yu 	關於	c=6 d=7.91699e-010 t=57682
guan zhu 	關注	c=10 d=1.10307e-007 t=57682
guan zhu dian 	關注點	c=1 d=0.110803 t=57682
guang biao 	光標	c=1 d=1.94813e-022 t=57682
guang bo 	廣播	c=15 d=4.13347e-019 t=57682
guang chang 	廣場	c=8 d=5.82695 t=35232
guang da 	廣大	c=1 d=1 t=51627
guang dao 	廣島	c=1 d=3.34767e-009 t=57682
guang dong 	廣東	c=0 d=2.10272e-039 t=57682
guang dong shen 	廣東神	c=1 d=2.11326e-038 t=57682
guang dong sheng 	廣東省	c=1 d=2.12386e-038 t=57682
guang gao 	廣告	c=4 d=0.00200714 t=57682
guang shi 	光是	c=1 d=2.15632e-040 t=57682
guang yi 	廣義	c=1 d=8.02356e-028 t=57682
guang zong 	光宗	c=1 d=1 t=43541
gui 	歸	c=1 d=9.52039e-011 t=57682
gui 	貴	c=3 d=9.56811e-011 t=57682
gui 	跪	c=4 d=0.00255424 t=57682
gui 	鬼	c=1 d=9.61607e-011 t=57682
gui bi 	規避	c=4 d=1 t=57315
gui bu gui 	貴不貴	c=1 d=1 t=36411
gui dao 	歸到	c=1 d=5.06843e-065 t=57682
gui fan 	規範	c=7 d=2.53199e-006 t=57682
gui fan hua 	規範化	c=1 d=1 t=35612
gui fang 	貴方	c=2 d=1.17417e-071 t=57682
gui gun 	貴滾	c=1 d=1.00707e-024 t=57682
gui hua 	規劃	c=1 d=1 t=54786
gui hua an 	規劃案	c=1 d=0.000315927 t=57682
gui hua zhong 	規劃中	c=1 d=1 t=43764
gui huan 	歸還	c=1 d=3.02839e-065 t=57682
gui miao 	桂廟	c=1 d=1 t=53640
gui qiu 	跪求	c=4 d=6.86449e-016 t=57682
gui si 	貴司	c=1 d=1.431e-069 t=57682
gui xia 	跪下	c=1 d=1 t=56043
gui xie 	跪謝	c=7 d=1.13469e-016 t=57682
gui yi 	詭異	c=3 d=1.9351e-033 t=57682
gui ze 	規則	c=3 d=0.965605 t=57682
gui zhe 	跪着	c=9 d=0.000217133 t=57682
gui zhe deng 	貴這等	c=1 d=1.6712e-071 t=57682
gui zhe kan 	跪着看	c=1 d=6.40108e-076 t=57682
gui zheng 	規整	c=1 d=1.15683e-008 t=57682
gun dong 	滾動	c=2 d=1.60354e-026 t=57682
guo 	果	c=3 d=0.299692 t=57682
guo 	過	c=35 d=8.63041e-008 t=57682
guo 	鍋	c=3 d=0.382893 t=57682
guo chan 	國產	c=1 d=0.0322254 t=57682
guo cheng 	過程	c=12 d=0.0208584 t=57682
guo cheng zhong 	過程中	c=1 d=3.35977e-022 t=57682
guo cheng zhong 	過程種	c=7 d=2.02137e-015 t=57682
guo chuang 	過窗	c=1 d=1 t=37491
guo da 	過大	c=1 d=1 t=40936
guo du 	過度	c=1 d=3.27382e-070 t=57682
guo du 	過渡	c=1 d=1.54381e-050 t=57682
guo ge 	果個	c=1 d=2.6273e-070 t=57682
guo he 	果盒	c=1 d=1 t=36399
guo he 	過河	c=1 d=1 t=36398
guo hu 	過戶	c=3 d=3.3552e-006 t=57682
guo hu qian 	過戶前	c=1 d=1 t=35270
guo ji 	國際	c=0 d=0.1 t=35062
guo ji guang chang 	國際廣場	c=1 d=1 t=35063
guo jia 	國家	c=1 d=1 t=40354
guo jin 	郭進	c=6 d=3.52722e-006 t=57682
guo lai 	過來	c=3 d=2.75875e-012 t=57682
guo le 	過了	c=2 d=1 t=50785
guo lv 	過濾	c=32 d=5.8115e-013 t=57682
guo pan 	過判	c=1 d=1 t=52588
guo qi 	國企	c=1 d=1.09828e-044 t=57682
guo qi 	過期	c=5 d=8.49872e-042 t=57682
guo qing 	國慶	c=14 d=1.71371e-012 t=57682
guo qu 	過去	c=4 d=0.000218221 t=57682
guo ran 	果然	c=4 d=4.0169e-006 t=57682
guo shi bang 	果食幫	c=1 d=1 t=49703
guo tu ju 	國土局	c=5 d=0.000599149 t=57682
guo xia 	過夏	c=1 d=5.16027e-041 t=57682
guo yi lun 	過一輪	c=1 d=9.33445e-073 t=57682
guo yi xia 	過一下	c=5 d=1.99196e-019 t=57682
ha 	哈	c=219 d=1.21058 t=57682
ha 	蛤	c=1 d=1 t=44429
ha bo 	哈勃	c=3 d=0.612626 t=57682
ha ha 	哈哈	c=29 d=0.392586 t=57682
ha ha 	蛤蛤	c=2 d=1 t=55311
ha ha ha 	哈哈哈	c=42 d=0.0423592 t=57682
ha ha ha ha 	哈哈哈哈	c=13 d=3.19928e-005 t=57682
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=3 d=5.82135e-018 t=57682
ha he ha ha ha ha he ha ha ha ha he ha ha ha ha he ha ha ha ha 	哈和哈哈哈哈和哈哈哈哈和哈哈哈哈和哈哈哈哈	c=1 d=3.52831e-039 t=57682
ha pi 	哈啤	c=1 d=1 t=44448
ha pi 	蛤蜱	c=2 d=1.95123 t=44456
ha sang 	哈桑	c=1 d=1 t=40011
ha shen 	哈神	c=22 d=0.0322063 t=57682
ha you 	哈有	c=1 d=1 t=36744
ha zong 	哈總	c=19 d=1.6453e-005 t=57682
hai 	海	c=1 d=1.80264e-050 t=57682
hai 	還	c=29 d=0.0442459 t=57682
hai bao 	海報	c=17 d=0.00419023 t=57682
hai bu neng 	還不能	c=1 d=3.04532e-013 t=57682
hai bu ru 	還不如	c=1 d=1 t=41902
hai bu shi 	還不是	c=2 d=1.28556e-014 t=57682
hai bu tai 	還不太	c=1 d=2.0679e-018 t=57682
hai cha 	還差	c=4 d=3.05726e-059 t=57682
hai chou le yang 	還抽了樣	c=1 d=7.21007e-035 t=57682
hai dei 	還得	c=8 d=5.54314e-022 t=57682
hai fang 	海防	c=0 d=0.1 t=35067
hai fang dao 	海防道	c=2 d=1.96079 t=35076
hai gen wo shuo 	還跟我說	c=1 d=3.61763e-039 t=57682
hai hao 	還好	c=4 d=8.52869e-011 t=57682
hai hui 	還會	c=7 d=1.93578e-006 t=57682
hai hui bu hui 	還會不會	c=3 d=1.89489 t=45105
hai hui you 	還會有	c=1 d=0.000209665 t=57682
hai ji 	海積	c=1 d=4.00027e-016 t=57682
hai ji de 	還記得	c=1 d=1.14287e-071 t=57682
hai mei 	還沒	c=25 d=9.15822e-008 t=57682
hai mei fa 	還沒發	c=2 d=6.57228e-063 t=57682
hai mei gai 	還沒改	c=1 d=2.33393e-030 t=57682
hai mei jia 	還沒加	c=1 d=1 t=45142
hai mei shuo 	還沒說	c=1 d=8.45506e-056 t=57682
hai mei you 	還沒有	c=17 d=0.00238158 t=57682
hai mu you 	還木有	c=2 d=1 t=47146
hai neng 	還能	c=5 d=4.77683e-015 t=57682
hai pa 	害怕	c=3 d=1.47824e-011 t=57682
hai qian 	還欠	c=1 d=1.36765e-007 t=57682
hai qing 	還請	c=1 d=1.94542e-035 t=57682
hai qu 	還去	c=1 d=1 t=38181
hai shi 	還是	c=134 d=0.391219 t=57682
hai shi yao 	還是要	c=1 d=2.25059e-014 t=57682
hai ting duo 	還挺多	c=1 d=1.43675e-028 t=57682
hai wai 	海外	c=17 d=0.0975595 t=57682
hai wai quan xian 	海外權限	c=1 d=1 t=51822
hai wai shou xian 	海外首先	c=1 d=5.02842e-060 t=57682
hai wan 	海灣	c=1 d=1 t=56773
hai wen 	還問	c=0 d=0.1 t=56998
hai wen wo 	還問我	c=1 d=1 t=56999
hai xiang 	還想	c=1 d=2.47269e-033 t=57682
hai xu 	還需	c=2 d=1.27823e-036 t=57682
hai xu ya 	還需呀	c=1 d=1 t=41614
hai xu yao 	還需要	c=14 d=4.03133e-015 t=57682
hai yao 	還要	c=26 d=0.00477934 t=57682
hai yao bu yao 	還要不要	c=1 d=1 t=50024
hai yi 	還以	c=0 d=3.3718e-065 t=57682
hai yi wei 	還以韋	c=2 d=9.71075e-038 t=57682
hai yo 	還喲	c=1 d=1 t=50296
hai you 	還有	c=72 d=0.724081 t=57682
hai you ge 	還有個	c=1 d=1 t=49854
hai you wen ti 	還有問題	c=1 d=1 t=48624
hai you yin xiang 	還有印象	c=1 d=1 t=44555
hai yu 	海域	c=1 d=1 t=43205
hai yu dao 	還遇到	c=2 d=2.06754e-016 t=57682
hai zai 	還在	c=16 d=0.537944 t=57682
hai zai bu zi a 	還在不字啊	c=1 d=1 t=38380
hai zei 	海賊	c=1 d=2.14294e-055 t=57682
hai zei wang 	海賊王	c=1 d=2.17533e-055 t=57682
hai zi 	孩子	c=3 d=3.26391e-006 t=57682
hai zi a 	孩子啊	c=1 d=3.28027e-005 t=57682
han 	含	c=2 d=1 t=51704
han 	喊	c=1 d=1 t=51705
han gai 	涵蓋	c=0 d=0.1 t=49996
han gai zai 	涵蓋在	c=1 d=1 t=49997
han guo 	韓國	c=2 d=1.78294e-009 t=57682
han shu 	函數	c=25 d=0.797728 t=57682
han shu ming 	函數名	c=1 d=1.58042e-061 t=57682
han wen 	韓文	c=2 d=1.0074e-046 t=57682
han yi 	涵義	c=2 d=2.77405e-033 t=57682
han yi 	漢儀	c=4 d=5.85968e-007 t=57682
han you 	含有	c=3 d=2.16345e-020 t=57682
han zhuang 	含裝	c=1 d=1 t=45234
hang 	行	c=12 d=1.36943e-008 t=57682
hang shu 	行數	c=7 d=1.55836e-023 t=57682
hang ye 	行業	c=1 d=7.26473e-065 t=57682
hao 	好	c=358 d=1.5451 t=57682
hao 	浩	c=1 d=1 t=43713
hao 	耗	c=0 d=0.1 t=51112
hao 	號	c=57 d=0.421282 t=57682
hao a 	好啊	c=6 d=7.39554e-008 t=57682
hao ba 	好吧	c=8 d=0.00341258 t=57682
hao ban 	好辦	c=1 d=7.76897e-031 t=57682
hao bu 	毫不	c=0 d=0.1 t=47856
hao bu a hong 	毫不阿訇	c=1 d=1 t=47857
hao bu hao 	好不好	c=4 d=8.37408e-010 t=57682
hao bu you yu 	毫不猶豫	c=1 d=6.36591e-070 t=57682
hao can 	好慘	c=1 d=9.03673e-074 t=57682
hao chu 	好處	c=2 d=2.83343e-034 t=57682
hao da 	好大	c=2 d=2.79796e-019 t=57682
hao de 	好的	c=71 d=0.0100627 t=57682
hao deng 	號燈	c=1 d=8.6379e-043 t=57682
hao di 	好睇	c=1 d=2.73647e-049 t=57682
hao diao 	好叼	c=1 d=8.86109e-049 t=57682
hao dong 	好動	c=4 d=2.27207 t=43953
hao duo 	好多	c=8 d=0.222017 t=57682
hao duo le 	好多了	c=1 d=1 t=46689
hao duo ren 	好多人	c=1 d=1 t=36936
hao fan 	好煩	c=2 d=2.77311e-029 t=57682
hao fang 	好方	c=1 d=1 t=55593
hao fang an 	好方案	c=1 d=1 t=57091
hao fu zhi 	好複製	c=1 d=2.52179e-029 t=57682
hao gui 	好貴	c=1 d=6.02524e-070 t=57682
hao guo 	好過	c=0 d=9.96675e-051 t=57682
hao hai pa 	好害怕	c=1 d=1.48565e-010 t=57682
hao hai zi 	好孩子	c=1 d=1 t=40275
hao hao 	好好	c=6 d=0.0199405 t=57682
hao huang 	好慌	c=3 d=1.54307e-015 t=57682
hao ji ge 	好幾個	c=4 d=6.91205e-009 t=57682
hao jiu 	好久	c=2 d=4.38608e-011 t=57682
hao ju zi 	好句子	c=1 d=9.29957e-029 t=57682
hao kan 	好看	c=2 d=1.72221e-013 t=57682
hao ke pa 	號可怕	c=1 d=9.35702e-072 t=57682
hao kun 	好睏	c=1 d=4.11495e-025 t=57682
hao le 	好了	c=16 d=0.00259284 t=57682
hao lie 	好咧	c=14 d=0.0778202 t=57682
hao ma 	號碼	c=4 d=2.83163e-010 t=57682
hao man zu 	好滿足	c=2 d=1.50518e-046 t=57682
hao miao 	毫秒	c=1 d=1 t=53681
hao qi dai 	好期待	c=2 d=1.99501 t=39165
hao ren zhen 	好認真	c=1 d=2.30114e-040 t=57682
hao shao 	好少	c=2 d=1.93072e-034 t=57682
